target_id,target_ja,average_quality_score,min_quality_score,max_quality_score,a_count,b_count,c_count,d_count,e_count,needs_source_fix,needs_text_cleanup,needs_depth,needs_uniqueness,watch,stable,quality_version
Soldier76,ソルジャー76,89.0,89,89,0,51,0,0,0,0,0,51,0,0,0,v50.15
Sojourn,ソジョーン,83.8,82,84,0,51,0,0,0,0,5,46,0,0,0,v50.15
Cassidy,キャスディ,81.2,79,82,0,37,14,0,0,0,51,0,0,0,0,v50.15
Ashe,アッシュ,84.0,82,84,0,51,0,0,0,0,1,50,0,0,0,v50.15
Reaper,リーパー,84.0,84,84,0,51,0,0,0,0,0,51,0,0,0,v50.15
Symmetra,シンメトラ,84.0,84,84,0,51,0,0,0,0,0,51,0,0,0,v50.15
Hanzo,ハンゾー,82.0,82,84,0,51,0,0,0,0,50,1,0,0,0,v50.15
Torbjorn,トールビョーン,84.0,84,84,0,51,0,0,0,0,0,51,0,0,0,v50.15
Bastion,バスティオン,94.5,91,95,50,1,0,0,0,0,1,0,0,0,50,v50.15
Mei,メイ,94.5,91,95,49,2,0,0,0,0,2,0,0,0,49,v50.15
Sombra,ソンブラ,94.8,93,95,51,0,0,0,0,0,0,0,0,0,51,v50.15
Tracer,トレーサー,84.0,84,84,0,51,0,0,0,0,0,51,0,0,0,v50.15
Genji,ゲンジ,82.0,82,82,0,51,0,0,0,0,51,0,0,0,0,v50.15
Junkrat,ジャンクラット,96.9,95,97,51,0,0,0,0,0,0,0,0,0,51,v50.15
Pharah,ファラ,97.0,95,97,51,0,0,0,0,0,0,0,0,0,51,v50.15
Echo,エコー,96.9,95,97,51,0,0,0,0,0,0,0,0,0,51,v50.15
Emre,エムレ,91.6,90,92,41,10,0,0,0,0,10,0,0,0,41,v50.15
