target_id,target_ja,enemy_id,enemy_ja,enemy_role,enemy_sub_role,coverage_score,text_score,rating_score,uniqueness_score,total_quality_score,quality_band,issue_count,missing_sources,placeholder_terms,short_text_fields,duplicate_warning,rating_range_for_target,source_count,one_line_summary,next_edit_priority,review_status,quality_version
Soldier76,ソルジャー76,D.Va,D.Va,タンク,イニシエーター,100,97,47,100,89,B,1,,,unique.duplication_guardrail,,5.0-5.0 stdev 0.00,10,ソルジャー76対D.Va: 品質B、スコア89/100。短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,needs_depth,v50.15
Soldier76,ソルジャー76,Winston,ウィンストン,タンク,イニシエーター,100,97,47,100,89,B,1,,,unique.duplication_guardrail,,5.0-5.0 stdev 0.00,10,ソルジャー76対ウィンストン: 品質B、スコア89/100。短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,needs_depth,v50.15
Soldier76,ソルジャー76,Doomfist,ドゥームフィスト,タンク,イニシエーター,100,97,47,100,89,B,1,,,unique.duplication_guardrail,,5.0-5.0 stdev 0.00,10,ソルジャー76対ドゥームフィスト: 品質B、スコア89/100。短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,needs_depth,v50.15
Soldier76,ソルジャー76,Hazard,ハザード,タンク,ストールワート,100,97,47,100,89,B,1,,,unique.duplication_guardrail,,5.0-5.0 stdev 0.00,10,ソルジャー76対ハザード: 品質B、スコア89/100。短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,needs_depth,v50.15
Soldier76,ソルジャー76,Wrecking Ball,レッキング・ボール,タンク,イニシエーター,100,97,47,100,89,B,1,,,unique.duplication_guardrail,,5.0-5.0 stdev 0.00,10,ソルジャー76対レッキング・ボール: 品質B、スコア89/100。短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,needs_depth,v50.15
Soldier76,ソルジャー76,Zarya,ザリア,タンク,ブルーザー,100,97,47,100,89,B,1,,,unique.duplication_guardrail,,5.0-5.0 stdev 0.00,10,ソルジャー76対ザリア: 品質B、スコア89/100。短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,needs_depth,v50.15
Soldier76,ソルジャー76,Junker Queen,ジャンカー・クイーン,タンク,ストールワート,100,97,47,100,89,B,1,,,unique.duplication_guardrail,,5.0-5.0 stdev 0.00,10,ソルジャー76対ジャンカー・クイーン: 品質B、スコア89/100。短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,needs_depth,v50.15
Soldier76,ソルジャー76,Domina,ドミナ,タンク,ストールワート,100,97,47,100,89,B,1,,,unique.duplication_guardrail,,5.0-5.0 stdev 0.00,10,ソルジャー76対ドミナ: 品質B、スコア89/100。短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,needs_depth,v50.15
Soldier76,ソルジャー76,Mauga,マウガ,タンク,ブルーザー,100,97,47,100,89,B,1,,,unique.duplication_guardrail,,5.0-5.0 stdev 0.00,10,ソルジャー76対マウガ: 品質B、スコア89/100。短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,needs_depth,v50.15
Soldier76,ソルジャー76,Ramattra,ラマットラ,タンク,ストールワート,100,97,47,100,89,B,1,,,unique.duplication_guardrail,,5.0-5.0 stdev 0.00,10,ソルジャー76対ラマットラ: 品質B、スコア89/100。短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,needs_depth,v50.15
Soldier76,ソルジャー76,Roadhog,ロードホッグ,タンク,ブルーザー,100,97,47,100,89,B,1,,,unique.duplication_guardrail,,5.0-5.0 stdev 0.00,10,ソルジャー76対ロードホッグ: 品質B、スコア89/100。短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,needs_depth,v50.15
Soldier76,ソルジャー76,Orisa,オリーサ,タンク,ブルーザー,100,97,47,100,89,B,1,,,unique.duplication_guardrail,,5.0-5.0 stdev 0.00,10,ソルジャー76対オリーサ: 品質B、スコア89/100。短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,needs_depth,v50.15
Soldier76,ソルジャー76,Sigma,シグマ,タンク,ストールワート,100,97,47,100,89,B,1,,,unique.duplication_guardrail,,5.0-5.0 stdev 0.00,10,ソルジャー76対シグマ: 品質B、スコア89/100。短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,needs_depth,v50.15
Soldier76,ソルジャー76,Reinhardt,ラインハルト,タンク,ストールワート,100,97,47,100,89,B,1,,,unique.duplication_guardrail,,5.0-5.0 stdev 0.00,10,ソルジャー76対ラインハルト: 品質B、スコア89/100。短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,短い説明欄へ勝ち方・負け筋・確認タイミングを追記。,needs_depth,v50.15
